nomclient,venteestimesupport2021,venteestimesupport2022,venteestimesupport2023,ventehorssupport2021,ventehorssupport2022,ventehorssupport2023,ventehorssupport202,dealconclusupport,VenteConclusupport2021,VenteConclusupport2022,VenteConclusupport2023,Upsale,Crossale,Nombre_Employe,OpenDeals,Secteur_Activite,DealConclu2021,DealConclu2022,DealConclu2023,Moved,Technologie,Support2023,annéedernierContact,moisdernierContact,annéeCreation,moisCreation,Support02021,nbredealsupport02021,Support02022,nbredealsupport02022,Support02023,nbredealsupport02023,Support12021,nbredealsupport12021,Support12022,nbredealsupport12022,Support12023,nbredealsupport12023,Support22021,nbredealsupport22021,Support22022,nbredealsupport22022,Support22023,nbredealsupport22023,Support32021,nbredealsupport32021,Support32022,nbredealsupport32022,Support32023,nbredealsupport32023,predicted,predictedsupport1,predictedsupport2,predictedUpsale
Carthage industries,0.0,0.0,0.0,0.0,16000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,50,1,59,0.0,0.0,0.0,0.0,228670012.0,0,2022.0,11.0,2022,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Centre de Biotechnologie Borj Cedria,0.0,0.0,0.0,11520.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,158,1,59,0.0,0.0,0.0,0.0,228670012.0,0,2021.0,12.0,2021,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Centre de recherche et des etudes sociales (CRES),6300.0,3150.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,6300.0,3150.0,0.0,0,0,100,3,74,0.0,1.0,0.0,0.0,228670012.0,0,2022.0,1.0,2021,9,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clevory Training,0.0,4000.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4000.0,0.0,0,0,26,1,74,0.0,1.0,0.0,0.0,228670006.0,0,2022.0,6.0,2022,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
Clinique International Hannibal,0.0,0.0,0.0,0.0,12000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,100,1,12,0.0,0.0,0.0,0.0,228670012.0,0,2022.0,3.0,2021,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clinique Ophtalmo du Lac - C.M.A -,6912.66,16350.86,3346.16,0.0,29811.58,0.0,0.0,0.6153846153846154,3156.19,13194.07,3346.16,0,1,200,13,12,2.0,5.0,1.0,0.0,228670006.0,1,2023.0,1.0,2021,7,0,0,0,0,0,0,1,2,1,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Clinisys,0.0,2250.0,0.0,10079.31,60807.55,37524.36,0.0,0.0,0.0,0.0,0.0,0,1,100,10,55,0.0,0.0,0.0,0.0,228670012.0,0,2023.0,12.0,2021,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cloud Shift,0.0,0.0,0.0,0.0,32173.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,15,1,55,0.0,0.0,0.0,0.0,228670012.0,0,2022.0,3.0,2022,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cofat,0.0,0.0,2500.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1000,2,74,0.0,0.0,0.0,0.0,228670012.0,0,2023.0,2.0,2022,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colmar,0.0,0.0,0.0,0.0,0.0,3622.4,0.0,0.0,0.0,0.0,0.0,0,0,80,1,17,0.0,0.0,0.0,0.0,228670012.0,0,2023.0,3.0,2023,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Compagnie Tuniso Koweito Chinoise de Pétrole,0.0,0.0,0.0,1850.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,150,1,17,0.0,0.0,0.0,0.0,228670012.0,0,2021.0,11.0,2021,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Consilium,0.0,0.0,0.0,0.0,6504.65,0.0,0.0,0.0,0.0,0.0,0.0,0,0,50,2,55,0.0,0.0,0.0,0.0,228670012.0,0,2022.0,10.0,2022,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cours des comptes,0.0,8900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,50,1,11,0.0,0.0,0.0,0.0,228670012.0,0,2022.0,6.0,2021,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D4B,0.0,0.0,0.0,3890.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,150,1,74,0.0,0.0,0.0,0.0,228670012.0,0,2021.0,12.0,2021,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DEFENSY,0.0,1040.0,0.0,0.0,365.3,0.0,0.0,0.5,0.0,1040.0,0.0,0,1,25,2,55,0.0,1.0,0.0,0.0,228670004.0,0,2022.0,5.0,2022,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DELICE HOLDING,14250.0,54682.0,219359.22,0.0,200408.57,598718.44,0.0,0.3333333333333333,14250.0,9694.0,219359.22,1,1,1000,12,59,1.0,2.0,1.0,1.0,228670006.0,1,2023.0,6.0,2021,9,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1
DOREMAIL,0.0,0.0,0.0,2892.0,2031.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,50,2,74,0.0,0.0,0.0,0.0,228670012.0,0,2022.0,10.0,2021,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DZETA,12042.0,0.0,0.0,56807.75,0.0,0.0,0.0,0.0769230769230769,10242.0,0.0,0.0,0,1,100,13,74,1.0,0.0,0.0,0.0,228670005.0,0,2021.0,12.0,2021,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dataxion,0.0,0.0,18000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,150,2,55,0.0,0.0,0.0,0.0,228670012.0,0,2023.0,2.0,2022,5,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delta Cuisine,0.0,0.0,39684.0,0.0,0.0,119052.0,0.0,0.0,0.0,0.0,0.0,0,1,100,4,59,0.0,0.0,0.0,0.0,228670012.0,0,2023.0,3.0,2023,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ECUMED PETROLEUM ZARZIS,0.0,0.0,0.0,74082.47,143724.54,68941.54,0.0,0.0,0.0,0.0,0.0,0,1,500,25,17,0.0,0.0,0.0,0.0,228670012.0,0,2023.0,12.0,2021,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENIS,0.0,0.0,0.0,0.0,545.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,100,1,16,0.0,0.0,0.0,0.0,228670012.0,0,2022.0,2.0,2021,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENNAKEL,0.0,16050.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,750.0,0.0,0,0,296,4,20,0.0,1.0,0.0,0.0,228670012.0,0,2022.0,9.0,2021,7,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENNAKL,0.0,0.0,0.0,0.0,90200.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,296,4,20,0.0,0.0,0.0,0.0,228670012.0,0,2022.0,10.0,2022,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSIT,0.0,39710.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,100,1,16,0.0,0.0,0.0,0.0,228670012.0,0,2022.0,7.0,2022,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EO DATA CENTER,33288.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,50,2,55,0.0,0.0,0.0,0.0,228670012.0,0,2021.0,5.0,2021,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EPPM,0.0,9000.0,0.0,0.0,8078.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,651,2,17,0.0,0.0,0.0,0.0,228670012.0,0,2022.0,11.0,2022,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ETAP,0.0,76600.0,0.0,0.0,638525.0,0.0,0.0,0.1428571428571428,0.0,23400.0,0.0,0,1,500,7,17,0.0,1.0,0.0,0.0,228670004.0,0,2022.0,12.0,2022,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EUROMAG,0.0,0.0,0.0,0.0,650.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,50,1,59,0.0,0.0,0.0,0.0,228670012.0,0,2022.0,3.0,2022,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EY Tunisie,0.0,8850.0,181910.0,0.0,52864.28,209083.04,0.0,0.4117647058823529,0.0,8850.0,1200.0,1,1,2000,17,74,0.0,3.0,4.0,0.0,228670004.0,1,2023.0,12.0,2022,2,0,0,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Ecole polytechnique Sousse,0.0,0.0,0.0,0.0,20000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,100,1,16,0.0,0.0,0.0,0.0,228670012.0,0,2022.0,6.0,2021,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Educanet,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,0,0,50,1,16,0.0,0.0,0.0,0.0,228670012.0,0,2023.0,6.0,2022,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
El Amana Takaful,0.0,0.0,0.0,0.0,0.0,287000.0,0.0,0.0,0.0,0.0,0.0,0,0,91,1,74,0.0,0.0,0.0,0.0,228670012.0,0,2023.0,3.0,2022,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
El kanaouet,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,0,0,200,1,59,0.0,0.0,0.0,0.0,228670012.0,0,2023.0,8.0,2022,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Enertech Group,0.0,17582.39,0.0,0.0,17582.39,0.0,0.0,0.0,0.0,0.0,0.0,0,1,50,2,59,0.0,0.0,0.0,0.0,228670012.0,0,2022.0,7.0,2022,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Etanchéité,0.0,0.0,15450.0,13712.0,36861.1,33575.89,0.0,0.0,0.0,0.0,0.0,0,1,100,13,20,0.0,0.0,0.0,0.0,228670012.0,0,2023.0,6.0,2021,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Evo Events DMCC,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10000.0,0.0,0,0,50,1,74,0.0,1.0,0.0,0.0,228670021.0,0,2022.0,9.0,2022,9,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FEAC,0.0,0.0,0.0,0.0,882.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,50,1,4,0.0,0.0,0.0,0.0,228670012.0,0,2022.0,6.0,2022,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOCUS,86362.7,0.0,0.0,343200.8,106822.5,0.0,0.0,0.0,85087.7,0.0,0.0,1,1,817,16,55,0.0,0.0,0.0,0.0,228670012.0,0,2022.0,9.0,2021,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
FOUNA,0.0,0.0,0.0,20000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,70,2,4,0.0,0.0,0.0,0.0,228670012.0,0,2021.0,7.0,2021,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FSEG MAHDIA,0.0,7960.0,0.0,0.0,6000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,200,2,16,0.0,0.0,0.0,0.0,228670012.0,0,2022.0,11.0,2022,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Faurecia,0.0,0.0,0.0,0.0,136602.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2000,2,55,0.0,0.0,0.0,0.0,228670012.0,0,2022.0,10.0,2022,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Filet sociaux de sécurité COMORES,0.0,0.0,28380.0,0.0,0.0,28380.0,0.0,0.0,0.0,0.0,0.0,0,1,100,2,74,0.0,0.0,0.0,0.0,228670012.0,0,2023.0,3.0,2022,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Fondinor,0.0,0.0,23400.0,0.0,0.0,113199.45,0.0,0.0,0.0,0.0,0.0,0,1,200,4,59,0.0,0.0,0.0,0.0,228670012.0,0,2023.0,4.0,2023,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GS ICT Algerie,0.0,0.0,7396.6,0.0,0.0,876912.54,0.0,0.0,0.0,0.0,0.0,0,1,50,4,55,0.0,0.0,0.0,0.0,228670012.0,0,2023.0,3.0,2022,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Global Print,0.0,0.0,0.0,0.0,0.0,3207.0,0.0,0.0,0.0,0.0,0.0,0,0,200,2,59,0.0,0.0,0.0,0.0,228670012.0,0,2023.0,2.0,2023,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gondwana,0.0,300.0,0.0,588.7,6001.099999999999,2995.0,0.0,0.1428571428571428,0.0,300.0,0.0,0,1,50,7,55,0.0,1.0,0.0,0.0,228670004.0,0,2023.0,2.0,2021,12,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Groupe Amer 'Carrelage choisis ',0.0,12165.0,0.0,0.0,12165.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,500,2,59,0.0,0.0,0.0,0.0,228670012.0,0,2022.0,5.0,2021,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Groupe Mabrouk ( Siege COPIT ),0.0,0.0,0.0,0.0,14500.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1000,1,74,0.0,0.0,0.0,0.0,228670012.0,0,2022.0,5.0,2022,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Groupe Magic Online,0.0,0.0,98100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,83,1,4,0.0,0.0,0.0,0.0,228670012.0,0,2023.0,6.0,2023,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Groupe SOROUBAT,0.0,0.0,0.0,0.0,1708.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,246,1,59,0.0,0.0,0.0,0.0,228670012.0,0,2022.0,6.0,2022,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Groupe joosoor,0.0,12900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,500,1,74,0.0,0.0,0.0,0.0,228670012.0,0,2022.0,6.0,2022,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grp Poulina - Aster Informatique,0.0,23250.0,0.0,389598.4,356291.3,365319.02,0.0,1.0,0.0,10000.0,0.0,0,1,1000,1,59,0.0,1.0,0.0,0.0,228670004.0,0,2023.0,12.0,2021,9,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HM-CONSULT,0.0,9552.84,0.0,0.0,9552.84,0.0,0.0,0.0,0.0,0.0,0.0,0,1,50,2,74,0.0,0.0,0.0,0.0,228670012.0,0,2022.0,12.0,2022,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HONDA,0.0,4950.0,0.0,0.0,7095.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,50,3,20,0.0,0.0,0.0,0.0,228670012.0,0,2022.0,4.0,2022,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HR-MAPS,0.0,0.0,21406.47,0.0,0.0,7966.47,0.0,0.0,0.0,0.0,0.0,0,1,50,3,55,0.0,0.0,0.0,0.0,228670012.0,0,2023.0,5.0,2022,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hannibal Lease,9396.52,106101.0,41813.0,92500.0,191399.65,136853.0,0.0,0.15625,9396.52,26916.5,9960.0,1,1,100,32,65,0.0,4.0,1.0,0.0,228670012.0,1,2023.0,12.0,2021,9,0,0,1,1,0,0,0,0,1,2,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1
Hello Tour,0.0,0.0,0.0,0.0,2020.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,50,2,74,0.0,0.0,0.0,0.0,228670012.0,0,2022.0,2.0,2021,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hello Tours,0.0,0.0,0.0,1160.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,50,2,74,0.0,0.0,0.0,0.0,228670012.0,0,2021.0,12.0,2021,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hmida Karboul :IBM Software Services Partner,0.0,0.0,0.0,0.0,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,10,1,74,0.0,0.0,0.0,0.0,228670012.0,0,2022.0,5.0,2022,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Home sweet home HSH,0.0,0.0,0.0,0.0,10632.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,20,1,74,0.0,0.0,0.0,0.0,228670012.0,0,2022.0,3.0,2021,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hygiene Indusrielle,0.0,6000.0,0.0,13326.7,16294.85,15357.88,0.0,0.0,0.0,0.0,0.0,0,1,200,4,59,0.0,0.0,0.0,0.0,228670012.0,0,2023.0,2.0,2021,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hôtel Carlton,0.0,0.0,40023.0,0.0,0.0,120069.0,0.0,0.0,0.0,0.0,0.0,0,1,50,4,74,0.0,0.0,0.0,0.0,228670012.0,0,2023.0,5.0,2023,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IA-TECH-NET,0.0,22400.0,0.0,0.0,34400.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,50,3,55,0.0,0.0,0.0,0.0,228670012.0,0,2022.0,9.0,2022,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IBL Production,0.0,0.0,0.0,4724.9,5605.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,20,2,74,0.0,0.0,0.0,0.0,228670012.0,0,2022.0,12.0,2021,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IDLINK,0.0,0.0,0.0,46218.53,83352.92000000001,0.0,0.0,0.0,0.0,0.0,0.0,0,0,50,11,74,0.0,0.0,0.0,0.0,228670012.0,0,2022.0,12.0,2021,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IDVEY,0.0,0.0,0.0,30305.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,50,4,74,0.0,0.0,0.0,0.0,228670012.0,0,2021.0,11.0,2021,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IFM,0.0,0.0,0.0,0.0,4964.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,55,1,8,0.0,0.0,0.0,0.0,228670012.0,0,2022.0,7.0,2022,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INDIGO Business Solutions,0.0,0.0,26400.0,2661.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,50,2,55,0.0,0.0,0.0,0.0,228670012.0,0,2023.0,6.0,2021,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INFO PRO,0.0,0.0,0.0,9800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1000,2,55,0.0,0.0,0.0,0.0,228670012.0,0,2021.0,7.0,2021,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INNOVICITY TUNISIE,4789.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4789.1,0.0,0.0,0,0,100,1,55,1.0,0.0,0.0,0.0,228670012.0,0,2021.0,12.0,2022,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INTERMETAL,0.0,0.0,0.0,12083.0,17029.61,0.0,0.0,0.0,0.0,0.0,0.0,0,0,112,6,59,0.0,0.0,0.0,0.0,228670012.0,0,2022.0,12.0,2021,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ISC (Ecole Internationale de carthage),4281.17,700.0,0.0,7202.34,4008.0,0.0,0.0,0.125,4281.17,0.0,0.0,0,1,200,8,16,1.0,0.0,0.0,0.0,228670006.0,0,2022.0,12.0,2021,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ISIE,0.0,0.0,0.0,0.0,80000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,100,1,16,0.0,0.0,0.0,0.0,228670012.0,0,2022.0,12.0,2022,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ITC,0.0,0.0,0.0,0.0,8930.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,20,1,74,0.0,0.0,0.0,0.0,228670012.0,0,2022.0,5.0,2022,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IWAY,9900.0,0.0,0.0,85000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,200,2,55,0.0,0.0,0.0,0.0,228670012.0,0,2021.0,7.0,2021,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IXIA Cosmetics,5305.0,5305.98,10928.9,9058.0,29791.0,18888.2,0.0,0.1875,5305.0,5305.98,10928.9,0,1,200,16,59,0.0,2.0,1.0,0.0,228670012.0,1,2023.0,7.0,2021,7,0,0,0,0,0,0,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Identity & Partners SA,0.0,5000.0,0.0,1738.0,2700.5,0.0,0.0,0.0,0.0,0.0,0.0,0,1,20,3,74,0.0,0.0,0.0,0.0,228670012.0,0,2022.0,4.0,2021,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Innovative Production service,0.0,0.0,0.0,0.0,1110.0,3737.4,0.0,0.0,0.0,0.0,0.0,0,0,10,3,17,0.0,0.0,0.0,0.0,228670012.0,0,2023.0,2.0,2022,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Instance nationale des télécommunications (INTT),0.0,5000.0,0.0,0.0,35200.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,100,3,8,0.0,0.0,0.0,0.0,228670012.0,0,2022.0,8.0,2021,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
International  Freight & Commerce (IFC),0.0,7199.0,0.0,4240.0,23278.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,100,6,65,0.0,0.0,0.0,0.0,228670012.0,0,2022.0,8.0,2021,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iserv solutions,0.0,87189.49,0.0,0.0,87189.49,0.0,0.0,0.0,0.0,0.0,0.0,0,1,50,2,55,0.0,0.0,0.0,0.0,228670012.0,0,2022.0,1.0,2021,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Judy,0.0,0.0,41400.0,0.0,0.0,71400.0,0.0,0.0,0.0,0.0,0.0,0,1,500,4,59,0.0,0.0,0.0,0.0,228670012.0,0,2023.0,6.0,2022,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jumia,0.0,0.0,0.0,0.0,115000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,200,2,4,0.0,0.0,0.0,0.0,228670012.0,0,2022.0,5.0,2022,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
